total deviance | predicted | actual
0.010750577224052297 | 0.44564107,0.08349135,0.89714116 | 0.43739864446430915,0.07668570006771776,0.8959920363629964
0.013389659738270866 | 0.2747503,0.7505155,0.60810035 | 0.2799846610341918,0.739074231642694,0.6126808873364097
0.020519389205444546 | 0.7952004,0.4720829,0.385304 | 0.7919657500110747,0.45995502328983456,0.40153658284126964
0.02143276558931561 | 0.7127094,0.57758886,0.4091808 | 0.723944346655321,0.5646960734552847,0.396261186050292
0.0055337597617898596 | 0.06856662,0.74429,0.6698683 | 0.0693835331021337,0.7388343692570217,0.6703056766422645
0.015130970603535925 | 0.76527876,0.23093358,0.6085823 | 0.7696069780352638,0.21956942946350974,0.5995784894444577
0.024484417417451294 | 0.7209291,0.25701988,0.6519957 | 0.7165377200845428,0.23352329921447354,0.6572979266816782
0.015298681739796954 | 0.32329446,0.8581545,0.40558746 | 0.31001163855355257,0.8563610595866599,0.41296309712243634
0.027900756581562297 | 0.23531143,0.34680858,0.91490847 | 0.21030655129960485,0.35804281834745405,0.9097123142566987
0.009703373550325937 | 0.51636946,0.12798235,0.85260695 | 0.508765668136905,0.13361983788635765,0.8504723592501006
0.01781746395204758 | 0.99599755,0.08967326,0.038724035 | 0.9951215592701875,0.08203773306914715,0.05479865535345069
0.015197649934374073 | 0.15267733,0.6649018,0.73549277 | 0.14393484745436053,0.6544729644173128,0.7422586466556685
0.00952375807371666 | 0.13847128,0.567864,0.81360334 | 0.1289649746103524,0.567745770278372,0.8130392214738286
0.017327909039092804 | 0.7577813,0.6138501,0.23497853 | 0.7647422571859083,0.5984497676070721,0.238803592362518
0.01164747069002254 | 0.42393145,0.028148318,0.90966696 | 0.42323372486545563,0.03887670951069139,0.9051860668360584
0.022441988772012273 | 0.66167784,0.33357844,0.6796015 | 0.6450062058219115,0.3247358536328933,0.6917467888010309
0.016928464286141413 | 0.6940538,0.3369398,0.64530987 | 0.6904822660833183,0.3206799890651723,0.6483815117950283
0.00954633163503953 | 0.7493509,0.6646554,0.042211264 | 0.7483504043203782,0.6613320044199223,0.05110432744351631
0.01758923662461982 | 0.27071846,0.22819257,0.9397348 | 0.26475891832645704,0.2433545193341209,0.933103045266847
0.006008656652644969 | 0.70321184,0.031096244,0.7172176 | 0.6999482080191437,0.02751576549584509,0.7136633581318066
0.018559556928560386 | 0.80846435,0.118627496,0.5822341 | 0.8065317076265677,0.10017334977540251,0.5826421754282363
0.014976229389245907 | 0.57921135,0.6195901,0.5397154 | 0.5651496165752474,0.6246744843046538,0.5388763304725545
0.012235035339042062 | 0.14409147,0.9872499,0.11633757 | 0.1337622998698225,0.983509490246068,0.12172398995044159
0.021104531778266458 | 0.08497569,0.9963371,0.07376549 | 0.10283826711738248,0.9911665022256331,0.08374518303817792
0.03312605676368354 | 0.6363327,0.43389654,0.64653677 | 0.6295033373290527,0.40576136507406957,0.6626335811780236
